name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_831121933939,EAM_Dynamo_Foiles_1985_Cu__MO_831121933939_000,6a9c46f5-25ba-44a1-9362-2f680c5dee21,1985--Foiles-S-M--Ni-Cu,301f04ce-9082-4542-8590-489300cd19e8,metal,atomic,False,kim,active,"['Cu', 'Ni']","['Cu', 'Ni']"
MO_831380044253,MEAM_LAMMPS_KimSeolJi_2017_PtMo__MO_831380044253_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_831902330215,Morse_Shifted_Jelinek_1972_Ar__MO_831902330215_004,d7b33fc0-d637-4627-8a47-9939936fdf6e,1972--Jelinek-G-E--Ar,8574b9b6-028e-4554-85d9-0c8e3a2e7da9,metal,atomic,False,kim,active,['Ar'],['Ar']
MO_832600236922,EAM_Dynamo_MendelevKramerHao_2012_Ni__MO_832600236922_005,d69d5b88-f8e2-4631-9cc0-e8b76fea065c,2012--Mendelev-M-I-Kramer-M-J-Hao-S-G-et-al--Ni,62289060-2bb5-4fa0-97ed-721404566f81,metal,atomic,False,kim,active,['Ni'],['Ni']
MO_836927321152,Morse_Shifted_GirifalcoWeizer_1959HighCutoff_K__MO_836927321152_004,1fd3b282-f507-4620-835e-1713c7ac36af,1959--Girifalco-L-A-Weizer-V-G--K,4a0e4ca0-051d-48dc-81b9-eb6af527628a,metal,atomic,False,kim,active,['K'],['K']
MO_848345414202,EAM_Dynamo_SunMendelevBecker_2006_Mg__MO_848345414202_005,7861dea4-a4df-4f84-8932-97ad9d24fe8b,2006--Sun-D-Y-Mendelev-M-I-Becker-C-A-et-al--Mg,d07092e4-8c38-4cf5-bd05-bf18f8b80776,metal,atomic,False,kim,active,['Mg'],['Mg']
MO_848899341753,EAM_Dynamo_Mendelev_2007_Zr__MO_848899341753_000,e9f48428-04e5-4665-941a-4383de5eeb54,,,metal,atomic,False,kim,active,[],[]
MO_849011491644,MEAM_LAMMPS_WangOhLee_2020_CuCo__MO_849011491644_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_849320763277,LJ_Shifted_Bernardes_1958MedCutoff_Xe__MO_849320763277_004,3c581fa4-ad07-4034-b543-1b9d89affca0,1958--Bernardes-N--Xe,d6b56970-f7f5-428a-8830-499e8d0e2715,metal,atomic,False,kim,active,['Xe'],['Xe']
MO_856295952425,EAM_MagneticCubic_MendelevHanSrolovitz_2003_Fe__MO_856295952425_002,53be5d59-ca36-4d0a-82d5-5eada0857b87,2003--Mendelev-M-I-Han-S-Srolovitz-D-J-et-al--Fe-2,06bf7ccd-ea6a-4744-bfbc-adefa5bcdd60,metal,atomic,False,kim,active,['Fe'],['Fe']
MO_856956178669,MEAM_LAMMPS_Lee_2006_FeC__MO_856956178669_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_857282754307,MJ_MorrisAgaLevashov_2008_Fe__MO_857282754307_003,ef7c2f21-0449-430a-b18a-8a30b363234c,2008--Morris-J-R-Aga-R-S-Levashov-V-Egami-T--Fe,ac9b428d-b7ec-4df4-a22d-f1ce4c65b9fd,metal,atomic,False,kim,active,['Fe'],['Fe']
