name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-22848,cc0ee714-a7ad-45a0-905a-9f61dd3e16f9,mp-22848,Materials Project,https://materialsproject.org/,orthorhombic,1.0,['Cl'],Cl,4.6632753979445,7.480407636142,8.26065876,90.0,90.0,90.0,8.0
mp-22851,7c542e53-c0a9-462e-8a92-a9e647c0a230,mp-22851,Materials Project,https://materialsproject.org/,cubic,2.0,"['Cl', 'Na']",ClNa,3.50218997,3.50218997,3.50218997,90.0,90.0,90.0,2.0
mp-22862,c239f96c-b48f-400d-a552-30bb281a5e7d,mp-22862,Materials Project,https://materialsproject.org/,cubic,2.0,"['Cl', 'Na']",ClNa,5.6916935645893,5.6916935645893,5.6916935645893,90.0,90.0,90.0,8.0
mp-22865,5702a59d-86d4-48f6-bbef-3bcc9a836261,mp-22865,Materials Project,https://materialsproject.org/,cubic,2.0,"['Cl', 'Cs']",ClCs,4.20905509,4.20905509,4.20905509,90.0,90.0,90.0,2.0
mp-22867,7f09f870-b0cf-4285-aec7-8e5414316bd8,mp-22867,Materials Project,https://materialsproject.org/,cubic,2.0,"['Br', 'Rb']",BrRb,7.0279294210576,7.0279294210576,7.0279294210576,90.0,90.0,90.0,8.0
mp-22876,d8281fea-01ef-40a3-95c3-8423f4a37ec7,mp-22876,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['Cs', 'I']",CsI3,7.2265783,10.46590529,11.31801138,90.0,90.0,90.0,16.0
mp-22898,b44cde24-c828-4547-9d93-fd8a4572ac45,mp-22898,Materials Project,https://materialsproject.org/,cubic,2.0,"['I', 'K']",IK,7.1853430564734,7.1853430564734,7.1853430564734,90.0,90.0,90.0,8.0
mp-22899,155afed6-b24d-45de-92f6-988506e9d961,mp-22899,Materials Project,https://materialsproject.org/,cubic,2.0,"['I', 'Li']",ILi,6.025700006847,6.025700006847,6.025700006847,90.0,90.0,90.0,8.0
mp-22901,51b59e1e-be5b-42b2-85d0-d5f041b929bb,mp-22901,Materials Project,https://materialsproject.org/,cubic,2.0,"['I', 'K']",IK,4.34638248,4.34638248,4.34638248,90.0,90.0,90.0,2.0
mp-22903,53ee3eee-7ea2-4b5e-a036-9a6152b8ad82,mp-22903,Materials Project,https://materialsproject.org/,cubic,2.0,"['I', 'Rb']",IRb,7.4878524455891,7.4878524455891,7.4878524455891,90.0,90.0,90.0,8.0
mp-22905,3075d524-09c8-47fe-a14a-eca43ac0f996,mp-22905,Materials Project,https://materialsproject.org/,cubic,2.0,"['Cl', 'Li']",ClLi,5.1527472924498,5.1527472924498,5.1527472924498,90.0,90.0,90.0,8.0
mp-22906,8dd9b50c-8e52-4116-ab48-aa098e6b3318,mp-22906,Materials Project,https://materialsproject.org/,cubic,2.0,"['Br', 'Cs']",BrCs,4.39301902,4.39301902,4.39301902,90.0,90.0,90.0,2.0
mp-22916,2ce4bedc-6048-46cb-87da-1fdd8c8933c7,mp-22916,Materials Project,https://materialsproject.org/,cubic,2.0,"['Br', 'Na']",BrNa,6.0275958045275,6.0275958045275,6.0275958045275,90.0,90.0,90.0,8.0
mp-22935,a1cbe9d4-8d7b-4ad0-afab-a8fc0a05a0ae,mp-22935,Materials Project,https://materialsproject.org/,tetragonal,3.0,"['Br', 'Cs', 'F']",BrCsF,4.39929327,4.39929327,20.158532294929,90.0,90.0,90.0,12.0
mp-22990,f188e26f-928c-4849-b534-7f065962e706,mp-22990,Materials Project,https://materialsproject.org/,hexagonal,3.0,"['Cl', 'Cs', 'I']",Cl2CsI,6.5720774235125,6.572077423512471,12.455124345668,90.0,90.0,119.99999999999966,12.0
mp-23,dbb05b87-443a-4e84-a59e-7d65cba11246,mp-23,Materials Project,https://materialsproject.org/,cubic,1.0,['Ni'],Ni,3.5080363450432,3.5080363450432,3.5080363450432,90.0,90.0,90.0,4.0
mp-23057,e4ae2278-5b0a-45d2-84f5-a967288c2d8a,mp-23057,Materials Project,https://materialsproject.org/,tetragonal,3.0,"['Br', 'Cs', 'Li']",Br2CsLi,5.22990672,5.22990672,10.13413755,90.0,90.0,90.0,8.0
mp-23153,241431a7-885b-4547-82b6-c1a12cf45483,mp-23153,Materials Project,https://materialsproject.org/,orthorhombic,1.0,['I'],I,4.60333257,9.1408511435508,9.83247853,90.0,90.0,90.0,8.0
mp-23154,2b2c7c69-03e2-4ce6-af3f-f94c2790ed0f,mp-23154,Materials Project,https://materialsproject.org/,orthorhombic,1.0,['Br'],Br,4.25864728,8.4521903753238,8.74379641,90.0,90.0,90.0,8.0
mp-23156,f63f1935-addd-48ea-8365-e2acebb442a0,mp-23156,Materials Project,https://materialsproject.org/,hexagonal,1.0,['He'],He,2.73269693,2.73269692999996,4.4492735,90.0,90.0,120.00000000000048,2.0
